"ID","Use","Born_Month","Gender","Hand_Span","PostCode","StateSecondary16","StateSecondary18","UniTravelMode","Height","GymHours","SocialMediaHours","SleepHours","Piercings","Visual","Job","Handed","Diet","Random1_20","BloodDonor","DrivingLicense","ShoeSize","AlevelGeog","GeogExamBoard","Start","End","Year"
"677627-677618-71075636","Yes","June","Female",150,"OX15 4FE","No","No","Train",165,4.5,1.56666666666667,8,0,"neither","Yes","left-handed?","meat eater (occasional or not)?",8,"No","Yes",6,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-23 11:59:47 UTC","2021-01-23 12:13:55 UTC",2020
"677627-677618-71106648","Yes","August","Female",195,"0","No","No","On foot",175,8,2.71666666666667,10,7,"eyeglasses","No","right-handed?","vegetarian?",17,"No","No",7,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-24 12:56:45 UTC","2021-01-24 13:01:46 UTC",2020
"677627-677618-71111420","Yes","September","Female",170,"SK86EX","Yes","Yes","Private car as a passenger",177,2.5,5,8,0,"eyeglasses","Yes","right-handed?","meat eater (occasional or not)?",18,"No","Yes",7.5,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-24 15:44:43 UTC","2021-01-24 16:00:49 UTC",2020
"677627-677618-71118511","Yes","March","Female",195,"RH16 1UT","Yes","Yes","Train",162,4.5,3,8.5,7,"eyeglasses","No","right-handed?","meat eater (occasional or not)?",2,"No","Yes",4,"Did not study Geography","Did not study geography in the UK post-16","2021-01-24 19:25:48 UTC","2021-01-24 19:34:19 UTC",2020
"677627-677618-71217332","Yes","January","Female",190,"SE100LL","No","Yes","On foot",163,4.0636,3.1,7,7,"neither","Yes","right-handed?","meat eater (occasional or not)?",9,"No","No",3.5,"A-level","Pearson Edexcel","2021-01-26 12:36:09 UTC","2021-01-26 12:38:46 UTC",2020
"677627-677618-71217368","Yes","June","Female",190,"ip13 6uf","No","Yes","Bus",171,0,6.53333333333333,8.33333333333333,5,"eyeglasses","Yes","right-handed?","meat eater (occasional or not)?",12,"Yes","Yes",6.5,"A-level","AQA (Assessment and Qualifications Alliance)","2021-01-26 12:36:34 UTC","2021-01-26 12:38:58 UTC",2020
"677627-677618-71217401","Yes","June","Female",188,"WV8 1GQ","Yes","Yes","On foot",163,2,4,9,2,"neither","Yes","right-handed?","pescatarian?",6,"No","No",4,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-26 12:36:49 UTC","2021-01-26 12:39:32 UTC",2020
"677627-677618-71217391","Yes","November","Female",80,"HR9 6DT","Yes","Yes","Private car as a passenger",165,0,2,5,11,"neither","No","right-handed?","meat eater (occasional or not)?",12,"No","Yes",4,"A-level","Pearson Edexcel","2021-01-26 12:36:46 UTC","2021-01-26 12:39:59 UTC",2020
"677627-677618-71217394","Yes","December","Female",180,"SK15 3GN","Yes","Yes","In a taxi",165.1,5,3.51666666666667,8.58333333333333,5,"eyeglasses","Yes","right-handed?","meat eater (occasional or not)?",16,"Yes","Yes",8,"A-level","Pearson Edexcel","2021-01-26 12:36:47 UTC","2021-01-26 12:40:11 UTC",2020
"677627-677618-71217428","Yes","October","Male",260,"SK9 2AD","No","Yes","On foot",185,3,4.5,10.5,0,"neither","Yes","right-handed?","meat eater (occasional or not)?",17,"No","Yes",10,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-26 12:36:57 UTC","2021-01-26 12:40:25 UTC",2020
"677627-677618-71217294","Yes","September","Female",156,"NW11 6NT","No","No","On foot",154,2,4.83333333333333,7.5,8,"eyeglasses","No","left-handed?","meat eater (occasional or not)?",7,"Yes","Yes",4,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-26 12:35:44 UTC","2021-01-26 12:41:40 UTC",2020
"677627-677618-71217513","Yes","April","Male",140,"LS29JW","No","No","On foot",172,0,0,3.23333333333333,0,"eyeglasses","No","right-handed?","meat eater (occasional or not)?",4,"No","No",7,"A-level","Other","2021-01-26 12:38:06 UTC","2021-01-26 12:42:14 UTC",2020
"677627-677618-71217448","Yes","February","Female",200,"NG235ES","Yes","Yes","On foot",168,7,4.33333333333333,8,2,"eyeglasses","No","right-handed?","vegetarian?",6,"No","Yes",6,"A-level","Pearson Edexcel","2021-01-26 12:37:11 UTC","2021-01-26 12:43:43 UTC",2020
"677627-677618-71217454","Yes","January","Female",170,"wa8 9jr","Yes","Yes","Bus",167,3,6,10,2,"neither","No","right-handed?","meat eater (occasional or not)?",3,"No","No",5,"A-level","Pearson Edexcel","2021-01-26 12:37:13 UTC","2021-01-26 12:47:00 UTC",2020
"677627-677618-71217392","Yes","November","Female",170,"TN18 5NR","No","No","Train",162,3.5,3.33333333333333,9.5,6,"neither","Yes","right-handed?","vegetarian?",16,"Yes","Yes",4.5,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-26 12:36:47 UTC","2021-01-26 12:49:59 UTC",2020
"677627-677618-71217370","Yes","August","Female",190,"EX23 9HA","No","No","Private car as a passenger",165,2,1.75,9,2,"neither","Yes","right-handed?","meat eater (occasional or not)?",8,"No","No",5,"A-level","Pearson Edexcel","2021-01-26 12:36:37 UTC","2021-01-26 12:50:35 UTC",2020
"677627-677618-71217425","Yes","May","Male",220,"LL12 8JE","Yes","Yes","Bus",191,12,5,7.5,0,"neither","Yes","left-handed?","meat eater (occasional or not)?",13,"Yes","Yes",11,"A-level","AQA (Assessment and Qualifications Alliance)","2021-01-26 12:36:57 UTC","2021-01-26 12:52:04 UTC",2020
"677627-677618-71218640","Yes","January","Male",165,"SE3 9XG","No","No","On foot",179,5.5,1,7,0,"eyeglasses","No","right-handed?","meat eater (occasional or not)?",9,"No","Yes",8.5,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-26 12:51:24 UTC","2021-01-26 12:57:53 UTC",2020
"677627-677618-71217412","Yes","November","Male",180,"CV350JQ","Yes","Yes","On foot",185,0,0.333333333333333,10,0,"eyeglasses","No","right-handed?","meat eater (occasional or not)?",17,"No","Yes",10,"A-level","Pearson Edexcel","2021-01-26 12:36:53 UTC","2021-01-26 12:59:06 UTC",2020
